run_id,scenario,is_attack,window_start_ns,request_rate,put_ratio,get_ratio,delete_ratio,reject_ratio,error_ratio,latency_mean_us,latency_p95_us,input_mean_bytes,input_max_bytes,cpu_percent_mean,rss_kb_mean
malformed-00,malformed,1,1784407419000000000,24.333333333333332,0.0,0.0,0.0,1.0,1.0,71.41895890410959,82.7289999999998,0.0,0.0,0.0,0.0
malformed-01,malformed,1,1784407422000000000,96.0,0.0,0.0,0.0,1.0,1.0,71.55727777777777,183.52739999999943,0.0,0.0,15.729400238224521,1132.0
malformed-01,malformed,1,1784407425000000000,361.6666666666667,0.0,0.0,0.0,1.0,1.0,70.73617327188941,144.15679999999992,0.0,0.0,14.912825117798741,1132.0
malformed-01,malformed,1,1784407428000000000,346.3333333333333,0.0,0.0,0.0,1.0,1.0,84.44993455245428,153.23009999999806,0.0,0.0,15.57387134579877,1132.0
malformed-01,malformed,1,1784407431000000000,342.0,0.0,0.0,0.0,1.0,1.0,79.00106725146199,152.04975000000002,0.0,0.0,16.229082703679982,1132.0
malformed-01,malformed,1,1784407434000000000,256.6666666666667,0.0,0.0,0.0,1.0,1.0,82.25405064935065,142.52964999999972,0.0,0.0,17.40425229294783,1132.0
malformed-02,malformed,1,1784407440000000000,205.0,0.0,0.0,0.0,1.0,1.0,72.7414617886179,125.09449999999995,0.0,0.0,13.926839351560588,1152.0
malformed-02,malformed,1,1784407443000000000,359.0,0.0,0.0,0.0,1.0,1.0,62.25038440111421,122.02639999999995,0.0,0.0,14.263643460087536,1152.0
malformed-02,malformed,1,1784407446000000000,344.0,0.0,0.0,0.0,1.0,1.0,69.92724903100775,126.34015,0.0,0.0,13.58564449333719,1152.0
malformed-02,malformed,1,1784407449000000000,375.0,0.0,0.0,0.0,1.0,1.0,56.64465422222222,100.56819999999993,0.0,0.0,13.571837773591193,1152.0
malformed-02,malformed,1,1784407452000000000,158.66666666666666,0.0,0.0,0.0,1.0,1.0,56.387873949579834,97.81450000000001,0.0,0.0,13.783843584377154,1152.0
replay-00,replay,1,1784407506000000000,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,365696.057,365696.057,140.0,140.0,0.0,0.0
replay-00,replay,1,1784407509000000000,3.6666666666666665,1.0,0.0,0.0,0.0,0.0,273647.9561818182,330899.657,140.0,140.0,0.33089985509825853,1280.0
replay-00,replay,1,1784407512000000000,4.333333333333333,1.0,0.0,0.0,0.0,0.0,227365.37661538462,253990.93839999998,140.0,140.0,0.0,1280.0
replay-00,replay,1,1784407515000000000,4.333333333333333,1.0,0.0,0.0,0.0,0.0,229162.67884615387,251985.24699999997,140.0,140.0,0.6637480470292306,1280.0
replay-00,replay,1,1784407518000000000,3.0,1.0,0.0,0.0,0.0,0.0,260526.3236666667,310469.3482,140.0,140.0,0.49404185180889176,1280.0
replay-01,replay,1,1784407524000000000,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,243174.4992857143,254836.0463,140.0,140.0,0.0,1280.0
replay-01,replay,1,1784407527000000000,4.0,1.0,0.0,0.0,0.0,0.0,259228.68149999998,291955.39195,140.0,140.0,0.3309273229227503,1280.0
replay-01,replay,1,1784407530000000000,3.6666666666666665,1.0,0.0,0.0,0.0,0.0,265060.8651818182,306147.6165,140.0,140.0,0.3291711852283287,1280.0
